Workspace;Power BI;Tabelas;Tabelas Secundárias;Origem
Credit;Curto Prazo;donus_kitchen_credit.visao_cp_atual;donus_serving.dataset_ambev_invoices;Nãoacheionotebook
Credit;Curto Prazo;donus_kitchen_credit.visao_cp_atual;donus_kitchen_operations.ambev_setores_censitarios_estrato_social_renda;#N/D
Credit;Curto Prazo;donus_kitchen_credit.cp_total;donus_serving.dataset_ambev_invoices;Nãoacheionotebook
Credit;Curto Prazo;donus_kitchen_credit.cp_total;donus_kitchen_operations.ambev_setores_censitarios_estrato_social_renda;#N/D
Credit;Curto Prazo;donus_kitchen_credit.clientes_inadimplentes;donus_kitchen_credit.cp_total;#N/D
Credit;Curto Prazo;donus_kitchen_credit.tabela_thomas;donus_serving.dataset_ambev_invoices;Nãoacheionotebook
Credit;Curto Prazo;donus_kitchen_credit.elegibilidade;donus_kitchen.beesbank_ambev_invoice;Bifrost(KafkaBeesBankqueextraidoPromax)
Credit;Curto Prazo;donus_kitchen_credit.carteira_ativa_historica_cp_contrato;donus_kitchen_credit.cp_total;#N/D
Credit;Curto Prazo;donus_kitchen_credit.carteira_ativa_historica_cp;donus_kitchen_credit.cp_total;#N/D
Credit;Curto Prazo;donus_kitchen_credit.carteira_ativa_historica_cp_diaria;donus_kitchen_credit.cp_total;#N/D
Credit;Curto Prazo;donus_kitchen_credit.lgd_cp;donus_kitchen_credit.carteira_ativa_historica_cp_contrato;#N/D
Credit;Curto Prazo;donus_kitchen_credit.rolagem_cp;donus_kitchen_credit.visao_cp_atual;#N/D
Credit;Curto Prazo;donus_kitchen_credit.saldo_cp;donus_kitchen_credit.carteira_ativa_historica_cp_contrato;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.kpi_produtos;donus_serving.dataset_ambev_invoices;Nãoacheionotebook
Credit;CP - Visão Produtos;donus_kitchen_credit.kpi_produtos;donus_kitchen.de_para_perfil_nge;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.nps_credito;donus_kitchen_credit.cp_total;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.nps_credito;donus_kitchen_cx.nps_cluster;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.motivos_cr_credito;donus_kitchen_cx.motivos_de_chamados;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.cr_credito;donus_kitchen_cx.contact_rate;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.vw_churn_curtoprazo;donus_kitchen_credit.carteira_ativa_historica_cp_contrato;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.vw_churn_curtoprazo;donus_kitchen_credit.vw_clientes_curtoprazo;#N/D
Credit;CP - Visão Produtos;donus_kitchen_credit.vw_clientes_curtoprazo;donus_kitchen_credit.visao_cp_atual;#N/D
Credit;Risco Sacado;donus_kitchen_credit.risco_sacado;donus_kitchen.monkey_api_operations;#N/D
Credit;Risco Sacado;donus_kitchen_credit.risco_sacado_suppliers;donus_kitchen.monkey_api_sellers;#N/D
Credit;CD;donus_kitchen_credit.cd;donus_kitchen.btg_carteira;APIPartnerBTG
Credit;CD;donus_kitchen_credit.cd;donus_kitchen.credit_creditslipreceipt;BeesBankMongo-InformaseainvoicefoiparaavaliaçàodoFIDIC
Credit;Cobrança LP;donus_kitchen_credit.base_cobranca_lp_dash;donus_kitchen_credit.mailing_fidc;#N/D
Credit;Colchão de acordo;donus_kitchen_credit.colchao_acordo_cp;donus_kitchen_credit.visao_cp_atual;#N/D
Credit;Colchão de acordo;donus_kitchen_credit.colchao_acordo_cp;donus_kitchen.credit_creditslipreceipt;BeesBankMongo-InformaseainvoicefoiparaavaliaçàodoFIDIC
Credit;Colchão de acordo;donus_kitchen_credit.colchao_acordo_cp;donus_kitchen.btg_carteira;APIPartnerBTG
Credit;-;donus_kitchen_credit.mailing_fidc;donus_kitchen_credit.mailing_lp_fidc;#N/D
Credit;-;donus_kitchen_credit.mailing_fidc;donus_kitchen_credit.mailing_cp_fidc;#N/D
Credit;-;donus_kitchen_credit.mailing_lp_fidc;donus_relational.fidc_carteira_lp_parcela;#N/D
Credit;-;donus_kitchen_credit.mailing_lp_fidc;iris_kitchen.postgres_cliente_mais;PostgreAMBEV,porémapartirde2023seráenviadoviadatashare
Credit;-;donus_kitchen_credit.mailing_lp_fidc;donus_kitchen_data.cadastros_bees_3;#N/D
Credit;-;donus_kitchen_credit.mailing_lp_fidc;donus_kitchen_data.cadastros_bees_4;#N/D
Credit;-;donus_kitchen_credit.mailing_lp_fidc;donus_kitchen_data.match_ambev_edv;TimeBeesBank
Credit;-;donus_kitchen_credit.mailing_lp_fidc;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;-;donus_kitchen_credit.mailing_lp_fidc;donus_serving.donus_customer;tabelasmapeadas
Credit;-;donus_kitchen_credit.mailing_cp_fidc;donus_relational.fidc_carteira_lp_parcela;#N/D
Credit;-;donus_kitchen_credit.mailing_cp_fidc;iris_kitchen.postgres_cliente_mais;PostgreAMBEV,porémapartirde2023seráenviadoviadatashare
Credit;-;donus_kitchen_credit.mailing_cp_fidc;donus_kitchen_data.cadastros_bees_3;#N/D
Credit;-;donus_kitchen_credit.mailing_cp_fidc;donus_kitchen_data.cadastros_bees_4;#N/D
Credit;-;donus_kitchen_credit.mailing_cp_fidc;donus_kitchen_data.match_ambev_edv;TimeBeesBank
